25 March 2017 10:21:27 PM

PARALLEL_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         128.757         9.51939         23.2163
         1         128.757          14.604         27.9162
         2         128.757         19.6324          29.559
         3         128.757         26.2049         32.1272
         4         128.757          35.824         34.7805
         5         128.757         42.8877         35.4451
         6         128.757         45.1979         33.5152
         7         128.757         41.2817         31.6886
         8         128.757         42.6199         31.1271
         9         128.757         51.1793         34.1361
        10         128.757         52.0584         33.3214
        11         128.757           53.83         31.9579
        12         128.757         55.2153         30.0524
        13         128.757         53.7994         29.7305
        14         128.757         59.6925         31.9968
        15         128.757         55.4499         31.6557
        16         128.757         52.9219         29.9542
        17         128.757         47.9639         28.6441
        18         128.757         45.8551          27.762
        19         128.757         43.4803         26.3319
        20         128.757         43.2693         25.3998
        21         128.757         44.5221         26.1392
        22         128.757         43.9684         24.2002
        23         128.757          44.463          23.376
        24         128.757         46.3748         22.5116
        25         128.757         43.2112          22.058
        26         128.757         48.7285         22.6586
        27         128.757         51.8593         22.7833
        28         128.757         59.5688         28.6448
        29         128.757         62.5843         27.1069
        30         128.757         61.6026         25.5794
        31         128.757         60.8912         23.3707
        32         128.757         62.5792         22.8701
        33         130.912         64.7998         23.2903
        34         130.912         58.4356         25.4845
        35         131.028         57.2944         24.2178
        36         131.028         52.9849         25.8945
        37         131.028         56.2161         26.9182
        38          131.54         59.1264         26.5627
        39          131.54         58.8479         27.2658
        40          131.54         59.8529         27.5003
        41          131.54         62.7658         26.1887
        42          131.54         59.2152         27.1692
        43          131.54         59.5153         25.9744
        44          131.54         61.2138         25.1461
        45          131.54         63.0613         25.0039
        46          131.54          63.498         24.3568
        47          131.54         64.8552         24.0121
        48          131.54         64.4164         23.1571
        49          131.54          66.104         23.0777
        50          131.54         63.5695          22.713
        51          131.54         66.4554           22.66
        52          131.54         68.6039         24.7009
        53          131.54         69.2403         26.1549
        54          131.54          69.945         24.5085
        55          131.54         69.3694         23.5696
        56          131.54         71.1629         22.6647
        57          131.54         70.2207         22.8628
        58          131.54         71.9899         21.9972
        59          131.54         69.9036         21.7218
        60          131.54          70.773          21.146
        61          131.54         68.7533         22.5204
        62          131.54         65.8918         22.4443
        63          131.54         66.4304         24.1092
        64          131.54         61.8971         25.4113
        65          131.54         59.6565           28.46
        66          131.54         62.2083          27.862
        67          131.54         63.1443         26.6206
        68          131.54          66.181         28.2417
        69          131.54         64.2252         27.5594
        70          131.54         66.9229         27.9843
        71          131.54         68.7493         27.6369
        72          131.54         66.9016         28.3891
        73          131.54         67.1248         26.8328
        74          131.54         67.6973         24.7143
        75          131.54         72.6908         25.9904
        76          131.54         72.9569         24.5182
        77          131.54         76.6554         23.9751
        78          131.54         79.9446         24.0053
        79          131.54         79.6638         25.1163
        80          131.54         76.4374         25.0131
        81          131.54         66.2649         32.8828
        82          131.54         61.1788         32.0382
        83          131.54         62.2738         29.3216
        84          131.54         61.6354         28.0721
        85          131.54          64.705         28.2518
        86          131.54         67.9254         29.7188
        87          131.54         65.3239         29.4426
        88          131.54         59.5035         28.9424
        89          131.54         59.5706         28.1536
        90          131.54         59.2974         26.9709
        91          131.54         58.0771         27.0038
        92          131.54         64.6584         28.4612
        93          131.54         66.5539         27.5751
        94          131.54         63.8509          26.638
        95          131.54           63.74         24.8027
        96          131.54         64.0476         24.7042
        97          131.54         64.6302          24.309
        98          131.54         64.6125         24.3637
        99          131.54         65.5657         23.9193

  Best member after 100 generations:

  var(0) = 510.831
  var(1) = -511.993
  var(2) = 456.698

  Best fitness = 131.54

SIMPLE_GA:
  Normal end of execution.

25 March 2017 10:21:32 PM
