# 2017/04/02 20:27:56			
# Using: pga_global_P and sga_P binary			
# POPSIZE	sga time	pga_time	speedup
1000	0.5698	0.4957	1.1495
2000	2.146	1.3006	1.65
3000	4.7207	2.2022	2.1437
4000	8.3287	3.4562	2.4098
5000	12.8959	4.8998	2.6319
6000	18.4703	7.016	2.6326
7000	25.0758	21.6343	1.1591
8000	32.7814	28.134	1.1652
9000	41.2779	31.5602	1.3079
10000	50.9403	44.5325	1.1439
