POPSIZE,SGA,PGA,PGA_BCAST
100,0.0109,0.0745,0.0707
500,0.1445,0.1949,0.1959
1000,0.5698,0.3841,0.3862
5000,12.8949,2.9298,2.6245
10000,51.1729,9.3007,9.2375
