POPSIZE,sga time,pga_time,speedup
1000,0.5675,0.3529,0.2147
2000,2.1395,0.6101,1.5294
3000,4.7198,0.9306,3.7892
4000,8.3137,1.2850,7.0287
5000,12.9072,1.6798,11.2274
6000,18.5180,2.0994,16.4187
7000,25.0636,2.7417,22.3219
8000,32.6572,3.4148,29.2424
9000,41.3270,4.1947,37.1322
10000,50.8799,4.9913,45.8887
