25 March 2017 10:20:38 PM

PARALLEL_GA:
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         129.539         59.8991         27.6959
         1         129.843         69.7758         26.5416
         2         129.843         76.9736         26.5434
         3         129.843         79.5685         26.7817
         4         130.056         80.6686         28.4146
         5         130.056         83.4606         27.6644
         6         130.056         85.8055         27.2561
         7         130.056         87.4475         28.4762
         8         130.206         87.8535         28.6507
         9         130.206         88.5085         29.5308
        10         130.206         89.4593         29.3605
        11         130.985          89.774         28.3028
        12         130.985         91.1205         29.0009
        13         130.985         93.2831         27.6481
        14         130.985         92.2441         29.3971
        15         130.985         90.9198         29.4918
        16         130.985         93.2926         27.1327
        17         130.985         92.0707         28.6869
        18         130.985         92.6192         28.0016
        19         130.985         92.5743         28.7696
        20         130.985         91.3299         28.3456
        21         130.985         89.8558         29.5746
        22         130.985         92.2445         28.5781
        23         130.985         90.4777         29.1249
        24         130.985         94.0824         29.3319
        25         130.985         95.8701         27.3396
        26         130.985         92.3628         28.5405
        27         130.985         92.1217         28.9775
        28         130.985         92.1603          29.295
        29         130.985         91.1313          29.778
        30         130.985          93.407         29.4245
        31         130.985         93.5074         27.9251
        32         130.985         92.5939         29.1362
        33         130.985         95.0382         28.8608
        34         130.985         95.8924         26.7373
        35         130.985         93.1746         28.9157
        36         130.985         92.1128         28.9606
        37         130.985         94.8691         27.3409
        38         130.985         92.1406         29.4799
        39         130.985         91.8951          30.505
        40         130.985         91.9242         30.3306
        41         130.985         93.1052         29.8511
        42         131.332         94.6824          29.701
        43         131.332         92.2945         29.7175
        44         131.332         91.6796         29.5907
        45         131.332         95.2484         28.6717
        46         131.332         94.8994         29.8785
        47         131.332          93.336         30.7654
        48         131.332         94.1446         29.4514
        49         131.332         92.4656         29.5286
        50         131.332          92.289         29.1149
        51         131.332         92.2247         28.9661
        52         131.332         92.2965         28.9526
        53         131.332         94.6513         27.5221
        54         131.332         93.4917         28.6333
        55         131.332         96.6833         26.4184
        56         131.332         95.2506         28.7346
        57         131.332         94.2844         28.6992
        58         131.332         94.6448         28.2278
        59         131.332         94.7314         27.2719
        60         131.332         94.8941         30.0009
        61         131.332         95.6922         28.0564
        62         131.332          95.076         29.4774
        63         131.662         95.3953         29.4343
        64         131.662         94.9056         29.6754
        65         131.705         94.1179         28.9833
        66         131.705         93.7491         29.2401
        67         131.705         91.8309         30.0649
        68         131.705         92.3817         29.7592
        69         131.705         94.6518         28.3447
        70         131.705         95.3971         28.1505
        71         131.705         93.6792         28.7636
        72         131.705         92.9466         29.5349
        73         131.705         95.4084         27.6867
        74         131.705         95.1323         28.3876
        75         131.705         95.2972         28.5218
        76         131.705          96.282         27.4482
        77         131.705         96.0385          26.928
        78         131.705         96.0591         28.3646
        79         131.705         94.5464         29.0273
        80         131.705         95.8409         28.1888
        81         131.705         98.0924         28.6119
        82         131.705         97.2269         27.7886
        83         131.705         96.3249         27.8428
        84         131.705         95.7212         29.6991
        85         131.705         95.5262         27.9753
        86         131.705         95.1777         29.1532
        87         131.705         93.9532         29.4399
        88         131.705         94.9412         29.8355
        89         131.705         95.5084         29.0927
        90         131.705         96.4875         28.4946
        91         131.705         96.9976         28.1791
        92         131.705         95.7507         29.0899
        93         131.705          96.303         29.2632
        94         131.705         98.1768         28.5381
        95         131.705         99.1991         28.3389
        96         131.705         96.3702          29.082
        97         131.705         95.8381         29.3687
        98         131.711         94.6234         31.2054
        99         131.711         94.0291         31.0597

  Best member after 100 generations:

  var(0) = 508.438
  var(1) = -510.743
  var(2) = 466.903

  Best fitness = 131.711

PARALLEL_GA:
  Normal end of execution.

25 March 2017 10:20:38 PM
